,adr_address,name,price_level,rating,serves_breakfast,serves_dinner,takeout,types,serves_lunch
3,"<span class=""street-address"">2489 W 30th St #2268</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46222</span>, <span class=""country-name"">USA</span>",Iron Skillet Restaurant,2.0,4.5,,True,True,establishment,
0,"<span class=""street-address"">1274 U.S. Hwy 31 N</span>, <span class=""locality"">Greenwood</span>, <span class=""region"">IN</span> <span class=""postal-code"">46142</span>, <span class=""country-name"">USA</span>",Olive Garden Italian Restaurant,2.0,4.3,False,True,True,meal_takeaway,
1,"<span class=""street-address"">1274 U.S. Hwy 31 N</span>, <span class=""locality"">Greenwood</span>, <span class=""region"">IN</span> <span class=""postal-code"">46142</span>, <span class=""country-name"">USA</span>",Olive Garden Italian Restaurant,2.0,4.3,False,True,True,bar,
2,"<span class=""street-address"">1274 U.S. Hwy 31 N</span>, <span class=""locality"">Greenwood</span>, <span class=""region"">IN</span> <span class=""postal-code"">46142</span>, <span class=""country-name"">USA</span>",Olive Garden Italian Restaurant,2.0,4.3,False,True,True,restaurant,
3,"<span class=""street-address"">1274 U.S. Hwy 31 N</span>, <span class=""locality"">Greenwood</span>, <span class=""region"">IN</span> <span class=""postal-code"">46142</span>, <span class=""country-name"">USA</span>",Olive Garden Italian Restaurant,2.0,4.3,False,True,True,food,
4,"<span class=""street-address"">1274 U.S. Hwy 31 N</span>, <span class=""locality"">Greenwood</span>, <span class=""region"">IN</span> <span class=""postal-code"">46142</span>, <span class=""country-name"">USA</span>",Olive Garden Italian Restaurant,2.0,4.3,False,True,True,point_of_interest,
5,"<span class=""street-address"">1274 U.S. Hwy 31 N</span>, <span class=""locality"">Greenwood</span>, <span class=""region"">IN</span> <span class=""postal-code"">46142</span>, <span class=""country-name"">USA</span>",Olive Garden Italian Restaurant,2.0,4.3,False,True,True,establishment,
0,"<span class=""street-address"">2544 Executive Dr</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46241</span>, <span class=""country-name"">USA</span>",Nicolino's Restaurant & Lounge,2.0,3.8,True,True,True,bar,
1,"<span class=""street-address"">2544 Executive Dr</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46241</span>, <span class=""country-name"">USA</span>",Nicolino's Restaurant & Lounge,2.0,3.8,True,True,True,restaurant,
2,"<span class=""street-address"">2544 Executive Dr</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46241</span>, <span class=""country-name"">USA</span>",Nicolino's Restaurant & Lounge,2.0,3.8,True,True,True,food,
3,"<span class=""street-address"">2544 Executive Dr</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46241</span>, <span class=""country-name"">USA</span>",Nicolino's Restaurant & Lounge,2.0,3.8,True,True,True,point_of_interest,
4,"<span class=""street-address"">2544 Executive Dr</span>, <span class=""locality"">Indianapolis</span>, <span class=""region"">IN</span> <span class=""postal-code"">46241</span>, <span class=""country-name"">USA</span>",Nicolino's Restaurant & Lounge,2.0,3.8,True,True,True,establishment,
0,"<span class=""street-address"">13910 Olivia Way</span>, <span class=""locality"">Fishers</span>, <span class=""region"">IN</span> <span class=""postal-code"">46037</span>, <span class=""country-name"">USA</span>",Thai Garden Restaurant,,4.4,,True,True,restaurant,
1,"<span class=""street-address"">13910 Olivia Way</span>, <span class=""locality"">Fishers</span>, <span class=""region"">IN</span> <span class=""postal-code"">46037</span>, <span class=""country-name"">USA</span>",Thai Garden Restaurant,,4.4,,True,True,food,
2,"<span class=""street-address"">13910 Olivia Way</span>, <span class=""locality"">Fishers</span>, <span class=""region"">IN</span> <span class=""postal-code"">46037</span>, <span class=""country-name"">USA</span>",Thai Garden Restaurant,,4.4,,True,True,point_of_interest,
3,"<span class=""street-address"">13910 Olivia Way</span>, <span class=""locality"">Fishers</span>, <span class=""region"">IN</span> <span class=""postal-code"">46037</span>, <span class=""country-name"">USA</span>",Thai Garden Restaurant,,4.4,,True,True,establishment,
0,"<span class=""street-address"">2685 E Main St #121</span>, <span class=""locality"">Plainfield</span>, <span class=""region"">IN</span> <span class=""postal-code"">46168</span>, <span class=""country-name"">USA</span>",El Paraiso Mexican Restaurant,,4.2,,True,True,restaurant,
1,"<span class=""street-address"">2685 E Main St #121</span>, <span class=""locality"">Plainfield</span>, <span class=""region"">IN</span> <span class=""postal-code"">46168</span>, <span class=""country-name"">USA</span>",El Paraiso Mexican Restaurant,,4.2,,True,True,food,
2,"<span class=""street-address"">2685 E Main St #121</span>, <span class=""locality"">Plainfield</span>, <span class=""region"">IN</span> <span class=""postal-code"">46168</span>, <span class=""country-name"">USA</span>",El Paraiso Mexican Restaurant,,4.2,,True,True,point_of_interest,
3,"<span class=""street-address"">2685 E Main St #121</span>, <span class=""locality"">Plainfield</span>, <span class=""region"">IN</span> <span class=""postal-code"">46168</span>, <span class=""country-name"">USA</span>",El Paraiso Mexican Restaurant,,4.2,,True,True,establishment,
